original_NAME,lat,lon,formatted,name,housenumber,district,street,postcode,suburb,city,county,county_code,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Excelacom Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Softlogic Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",,Old Padra Road,390007,,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Corent Technology,,,,,,,,,,,,,,,,,,,,
ABSYZ Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,,Webmyne INC,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
UrbanPiper,12.9701504,77.7310698,"UrbanPiper, 204, Vydehi Hospital Road, Kundalahalli, Bengaluru - 560066, KA, India",UrbanPiper,204,Bengaluru East City Corporation,Vydehi Hospital Road,560066,Kundalahalli,Bengaluru,Bangalore East,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SoftSol,17.4395782,78.378051,"SoftSol, Inorbit Mall Road, Madhapur, Hyderabad - 996544, TG, India",SoftSol,,West Zone,Inorbit Mall Road,996544,Madhapur,Hyderabad,Serilingampalle mandal,HY,Telangana,TG,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
GlobalEdge,,,,,,,,,,,,,,,,,,,,
BPK Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
AM Research,9.6165408,77.1436179,"Kumily Waste Management Study And Research Center, Adimaly - Kumily Highway, Murickady - 685535, KL, India",Kumily Waste Management Study And Research Center,,,Adimaly - Kumily Highway,685535,,Murickady,Peerumade,,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Inspiredge IT Solutions,,,,,,,,,,,,,,,,,,,,
Inflow Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Enhancesys Innovations,17.4523593,78.3628041,"Euclid Innovations, 650 SLN Terminus, Gachibowli - Miyapur Highway, Ward 106 Serilingampally, Hyderabad - 500084, TG, India",Euclid Innovations,650 SLN Terminus,Studiorigin - Interior Designer in Hyderabad,Gachibowli - Miyapur Highway,500084,Ward 106 Serilingampally,Hyderabad,Serilingampalle mandal,HY,Telangana,TG,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Indusface,,,,,,,,,,,,,,,,,,,,
SELP,,,,,,,,,,,,,,,,,,,,
e,,,,,,,,,,,,,,,,,,,,
Opsera,,,,,,,,,,,,,,,,,,,,
Smartedge Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,East Bangalore,,,Mobipro Solutions,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Privafy,,,,,,,,,,,,,,,,,,,,
LSA Recruit,13.147494,79.83848,"Police Recruit School Thiruvallur, - 631203, TN, India",,,,Police Recruit School Thiruvallur,631203,,,Thiruvallur,TL,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Netenrich,",,,,,,,,,,,,,,,,,,,,
National Computer Systems,28.6119151,77.2196391,"National Museum, Janpath, Chanakya Puri Tehsil, New Delhi - 020626, India",National Museum,,,Janpath,020626,Chanakya Puri Tehsil,New Delhi,,,,,India,in,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
UniqueHire Consulting LLP,28.5480737,77.2533897,"Simran Consulting LLP, 89, Nehru Place, Kalkaji Tehsil, Delhi - 110019, DL, India",Simran Consulting LLP,89,South East Delhi,Nehru Place,110019,Kalkaji Tehsil,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Estuate,",,,,,,,,,,,,,,,,,,,,
Bourntec Solutions Inc,,,,,,,,,,,,,,,,,,,,
Inventech Info Solutions,22.5541975,72.9478591,"Ananya Info Solutions, SF-229, NARAYAN EMPIRE, ANAND VIDYA NAGAR ROAD, Anand - 388001, GJ, India",Ananya Info Solutions,"SF-229, NARAYAN EMPIRE",,ANAND VIDYA NAGAR ROAD,388001,,Anand,Anand City Taluka,AN,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
InfoVision Labs,13.01012,77.644967,"Saartha Labs Private Labs, 12, 2nd floor, Banaswadi Main Road, Banasavadi, Bangalore - 560043, KA, India",Saartha Labs Private Labs,"12, 2nd floor",East Bangalore,Banaswadi Main Road,560043,Banasavadi,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Numeric Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Serole Technologies,,,,,,,,,,,,,,,,,,,,
Provar Testing,13.1889086,80.3147634,"Chinnus Blood Testing, Chennai - Ennore Expressway Road, Zone 1 Tiruvottiyur, Chennai - 600057, TN, India",Chinnus Blood Testing,,CMWSSB Division 5,Chennai - Ennore Expressway Road,600057,Zone 1 Tiruvottiyur,Chennai,Mathavaram,CH,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Minfy,,,,,,,,,,,,,,,,,,,,
Fint Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,East Bangalore,,,Mobipro Solutions,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Cavista,,,,,,,,,,,,,,,,,,,,
"FourKites,",,,,,,,,,,,,,,,,,,,,
IDS NEXT Business Solutions,,,,,,,,,,,,,,,,,,,,
VMock,,,,,,,,,,,,,,,,,,,,
TraceLink,,,,,,,,,,,,,,,,,,,,
AIS Technolabs,11.0691734,76.5175355,"Ais Karuvara, Mannarkkad-Aanakkati Road, Anamooly, Agali - 678582, KL, India",Ais Karuvara,,Anamooly,Mannarkkad-Aanakkati Road,678582,,Agali,Mannarkad,PL,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Trineo,,,,,,,,,,,,,,,,,,,,
BenQ India,28.193235,94.154038,"Arunachal Pradesh, India",Arunachal Pradesh,,,,,,,,,,,India,in,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
i2k2 Networks,12.9256413,77.6863239,"Applogic Networks, 1A, RMZ Ecoworld Internal Road, Shivanasamudra Ward, Bengaluru - 560103, KA, India",Applogic Networks,1A,Bengaluru East City Corporation,RMZ Ecoworld Internal Road,560103,Shivanasamudra Ward,Bengaluru,Bangalore East,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
freeskout,,,,,,,,,,,,,,,,,,,,
Infodart Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Cavisson Systems,",22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",,Old Padra Road,390007,,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
MultiQoS Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Dynalog India,,,,,,,,,,,,,,,,,,,,
Norwin Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Nature Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
2iSolutions,,,,,,,,,,,,,,,,,,,,
Hammer,32.2517762,76.3292651,"Golden Hammer Woodcarving, Dharamkot - Haini Road, Dharamkot - 176219, HP, India",Golden Hammer Woodcarving,,,Dharamkot - Haini Road,176219,,Dharamkot,Dharamshala,KA,Himachal Pradesh,HP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Indus Net Technologies,23.132693,87.631443,"Indus, Bankura, India",,,,,,,Indus,Bankura,,West Bengal,WB,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Cystems Logic Inc,,,,,,,,,,,,,,,,,,,,
IAP Company,13.0157268,77.5694163,"Instrumentation and Applied Physics, Mirinji Marg, Sadashivanagar, Bengaluru - 560012, KA, India",Instrumentation and Applied Physics,,Bengaluru West City Corporation,Mirinji Marg,560012,Sadashivanagar,Bengaluru,Bangalore North,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Trangile Services,30.111017,78.2825,"Services, Someshwar Nagar, Rishikesh - 249201, UT, India",,,,Services,249201,Someshwar Nagar,Rishikesh,Dehradun,DD,Uttarakhand,UT,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
EverestEngineering,,,,,,,,,,,,,,,,,,,,
RecruitNXT,,,,,,,,,,,,,,,,,,,,
JetSynthesys,,,,,,,,,,,,,,,,,,,,
Saviance Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Verinite,,,,,,,,,,,,,,,,,,,,
nCircle Tech,12.9226966,80.1279616,"TECH ZONE, 1, Velachery Main Road, East Tambaram, Tambaram - 600059, TN, India",TECH ZONE,1,,Velachery Main Road,600059,East Tambaram,Tambaram,Tambaram,KC,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Purplle.com,,,,,,,,,,,,,,,,,,,,
Panamax,,,,,,,,,,,,,,,,,,,,
Haptik,,,,,,,,,,,,,,,,,,,,
Jeavio,,,,,,,,,,,,,,,,,,,,
SCORG International Consulting,,,,,,,,,,,,,,,,,,,,
TechnoBind Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,East Bangalore,,,Mobipro Solutions,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
EventBeep,,,,,,,,,,,,,,,,,,,,
Smaartt Digital Consulting,,,,,,,,,,,,,,,,,,,,
Qwikcilver Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,East Bangalore,,,Mobipro Solutions,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Benison Technologies,12.915981,77.651606,"Foradian Technologies, 2569/665, 27th Main Rd, 1st Sector, HSR Layout, HSR Layout, Bangalore - 560102, KA, India",Foradian Technologies,2569/665,Bommanahalli ,"27th Main Rd, 1st Sector, HSR Layout",560102,HSR Layout,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pratiti Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Sagarsoft,,,,,,,,,,,,,,,,,,,,
Technovert,17.4373379,78.393206,"Technovert, kavuri hills road, Madhapur, Hyderabad - 800081, TG, India",Technovert,,Kavuri Hills,kavuri hills road,800081,Madhapur,Hyderabad,Serilingampalle mandal,HY,Telangana,TG,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Aabasoft,9.9946969,76.3520125,"Aabasoft, Seaport Airport Road, Ernakulam - 682037, KL, India",Aabasoft,,,Seaport Airport Road,682037,,Ernakulam,Kanayannur,ER,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Auriga IT Consulting,,,,,,,,,,,,,,,,,,,,
SmartKargo,,,,,,,,,,,,,,,,,,,,
Hoonartek,,,,,,,,,,,,,,,,,,,,
Krish TechnoLabs,13.0920663,80.2817503,"Krish Lites, Govindappa Naicken Street, Zone 5 Royapuram, Chennai - 600079, TN, India",Krish Lites,,CMWSSB Division 57,Govindappa Naicken Street,600079,Zone 5 Royapuram,Chennai,Chennai,CH,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Dion Global Solutions,9.9625939,76.2417663,"Dion homestay, Vadathaza Lane, Fort Kochi, Kochi - 682001, KL, India",Dion homestay,,Vadathaza,Vadathaza Lane,682001,Fort Kochi,Kochi,Kochi,ER,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
OnGraph Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Rrootshell Technologiiss,,,,,,,,,,,,,,,,,,,,
mokSa Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Facilio,,,,,,,,,,,,,,,,,,,,
Maven Wave,12.9507013,77.6235404,"Maven Kitchen, Ejipura Main Road, Ambedkarnagar, Bengaluru - 560095, KA, India",Maven Kitchen,,Bengaluru Central City Corporation,Ejipura Main Road,560095,Ambedkarnagar,Bengaluru,Bangalore North,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Intellect Bizware Services,,,,,,,,,,,,,,,,,,,,
Gameskraft,,,,,,,,,,,,,,,,,,,,
Itlize Global,27.501023,82.794713,"Global, Barhani Bazar, Siddharth Nagar, India",Global,,,,,,Barhani Bazar,Siddharth Nagar,SN,Uttar Pradesh,UP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Webomaze Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Xicom Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Sphinx Worldbiz,28.3924898,77.0589534,"SphinX, GF-24, Kadarpur Road, Sector 65, Gurgaon - 122008, HR, India",SphinX,GF-24,Gurgaon,Kadarpur Road,122008,Sector 65,Gurgaon,Gurugram,GG,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Eze Software,25.595974,94.384184,"ezeri (literal translation eze means sea/lake, ri is river), Chizami - 797107, NL, India",,,,"ezeri (literal translation eze means sea/lake, ri is river)",797107,,Chizami,Phek,PH,Nagaland,NL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
IDMWORKS,,,,,,,,,,,,,,,,,,,,
Teksun Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,,Webmyne INC,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
ixigo,,,,,,,,,,,,,,,,,,,,
Potomac Technologies,12.3252959,76.625107,"Potomac Hills, 2906/1, Gokulam Main Road, Jayalakshmipuram, Mysuru - 570001, KA, India",Potomac Hills,2906/1,,Gokulam Main Road,570001,Jayalakshmipuram,Mysuru,Mysuru taluk,MY,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Panamax Infotech,26.82399,75.54525,"Vatika Infotech City, Jaipur, India",,,,,,,Vatika Infotech City,Jaipur,,Rajasthan,RJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
RT Outsourcing Services,,,,,,,,,,,,,,,,,,,,
CoreFlex Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,East Bangalore,,,Mobipro Solutions,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Cogencis Information Services,17.529614,78.399842,"Indian National Centre for Ocean Information Services, Gajula Ramaram, Hyderabad - 500117, AP, India",,,North Zone,Indian National Centre for Ocean Information Services,500117,Gajula Ramaram,Hyderabad,Hyderabad,HY,Andhra Pradesh,AP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Protean eGov Technologies,,,,,,,,,,,,,,,,,,,,
Bhavna Corp.,22.608133,73.807717,"Bhavna Falia, Dahod, India",,,,,,,Bhavna Falia,Dahod,,Gujarat,GJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
DigiMantra Labs,13.01012,77.644967,"Saartha Labs Private Labs, 12, 2nd floor, Banaswadi Main Road, Banasavadi, Bangalore - 560043, KA, India",Saartha Labs Private Labs,"12, 2nd floor",East Bangalore,Banaswadi Main Road,560043,Banasavadi,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Paycraft Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,East Bangalore,,,Mobipro Solutions,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
TechMatrix Consulting,28.4935315,77.088317,"Boston Consulting Group, DLF Tower 10th Road, Sector 25A, Gurgaon - 122010, HR, India",Boston Consulting Group,,Gurgaon,DLF Tower 10th Road,122010,Sector 25A,Gurgaon,Gurugram,GG,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
FSL Software Technologies,13.026214,77.635813,"Ambara Software Technologies, Kacharkanahalli, Bangalore - 560043, KA, India",Ambara Software Technologies,,East Bangalore,,560043,Kacharkanahalli,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
CoreCard India,28.193235,94.154038,"Arunachal Pradesh, India",Arunachal Pradesh,,,,,,,,,,,India,in,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
EverQuote,,,,,,,,,,,,,,,,,,,,
Team Recykal,17.5151659,78.4883232,"Team HDPC, 202, Panchsheel Enclave Lane no 11, Ward 133 Macha Bolarum, Hyderabad - 500010, TG, India",Team HDPC,202,Greater Hyderabad Municipal Corporation North Zone,Panchsheel Enclave Lane no 11,500010,Ward 133 Macha Bolarum,Hyderabad,Alwal mandal,RA,Telangana,TG,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Real Time Data Services,,,,,,,,,,,,,,,,,,,,
bijnis,,,,,,,,,,,,,,,,,,,,
Vitech Systems Asia,18.5461883,73.8169543,"Food Systems Asia, Abhimanshree Society Road, Aundh, Pune - 411001, MH, India",Food Systems Asia,,Aundh,Abhimanshree Society Road,411001,,Pune,Pune City,PU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sourcebits Digital,12.936467,77.6909742,"Sourcebits (Ascendum Digital), 2nd Floor, A Block, Salarpuria Aura, Service Road, Panathur, Bengaluru - 560103, KA, India",Sourcebits (Ascendum Digital),"2nd Floor, A Block, Salarpuria Aura,",Bengaluru East City Corporation,Service Road,560103,Panathur,Bengaluru,Bangalore East,,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fiorano Software,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,,NH325,343001,,Jalore,Jalor Tehsil,JL,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Jekson Vision,30.0424553,76.3119938,"Velvet Vision, Guhla Road, Cheeka - 136035, HR, India",Velvet Vision,,,Guhla Road,136035,,Cheeka,Guhla,KT,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Relevance Lab,15.4123064,73.9785167,"lab, 123, GEC Slope, Farmagudi, Ponda - 403401, GA, India",lab,123,,GEC Slope,403401,Farmagudi,Ponda,Ponda,NG,Goa,GA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LearnQuest,,,,,,,,,,,,,,,,,,,,
Salesken,,,,,,,,,,,,,,,,,,,,
Eightfold,12.936401,77.6108471,"Eightfold AI, Hosur Road, Lakkasandra, Bengaluru - 560029, KA, India",Eightfold AI,,Bengaluru South City Corporation,Hosur Road,560029,Lakkasandra,Bengaluru,Bangalore South,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Eximius Design,18.5633682,73.7727798,"Ticket Design, 87/ 20, Rajyog Internal Lane, Baner, Pune - 411045, MH, India",Ticket Design,87/ 20,Aundh,Rajyog Internal Lane,411045,Baner,Pune,Pune City,PU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
AmpleLogic,,,,,,,,,,,,,,,,,,,,
M3BI,,,,,,,,,,,,,,,,,,,,
McKinley Rice,11.7080901,75.5350958,"Morgan McKinley, Boulevard Road, Mahe - 673310, PY, India",Morgan McKinley,,,Boulevard Road,673310,,Mahe,Mahe Taluk,MA,Puducherry,PY,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Entropik Tech,12.9226966,80.1279616,"TECH ZONE, 1, Velachery Main Road, East Tambaram, Tambaram - 600059, TN, India",TECH ZONE,1,,Velachery Main Road,600059,East Tambaram,Tambaram,Tambaram,KC,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
High Peak Software,11.3715844,76.5178118,"Mukurthi Peak, 643212, TN, India",Mukurthi Peak,,,,643212,,,Udhagamandalam,NI,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
LARVOL,,,,,,,,,,,,,,,,,,,,
Cartesian Consulting,28.4935315,77.088317,"Boston Consulting Group, DLF Tower 10th Road, Sector 25A, Gurgaon - 122010, HR, India",Boston Consulting Group,,Gurgaon,DLF Tower 10th Road,122010,Sector 25A,Gurgaon,Gurugram,GG,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
