original_NAME,lat,lon,formatted,name,housenumber,district,street,postcode,suburb,city,county,county_code,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Dextara Digital,19.0128029,72.8277261,"Reliance Digital, Appasaheb Marathe Marg, Prabhadevi, Mumbai - 400025, MH, India",Reliance Digital,,Mumbai Zone 2,Appasaheb Marathe Marg,400025,Prabhadevi,Mumbai,Mumbai City District,MU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Posidex,,,,,,,,,,,,,,,,,,,,
Optimus Information,18.569197,73.911308,"Optimus, West Avenue, Nagar Road, Pune - 411014, MH, India",Optimus,,Nagar Road,West Avenue,411014,,Pune,Pune,PU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Digital Aptech,18.5983079,73.7638819,"Aptech Montana, Sainath colony path, Bhujbal Chowk, Pimpri - 411027, MH, India",Aptech Montana,,,Sainath colony path,411027,Bhujbal Chowk,Pimpri,Mulshi,PU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
DigiValet,,,,,,,,,,,,,,,,,,,,
apna,22.6923054,75.8620709,"Vishnupuri Apna Garden, Indore, Juni Indore Tahsil, India",Vishnupuri Apna Garden,,Indore City,,,,Indore,Juni Indore Tahsil,,Madhya Pradesh,MP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Agri10x,,,,,,,,,,,,,,,,,,,,
Zentek Infosoft,28.6779107,77.2638615,"Zentek Educational  & Welfare Society, T-105, Gali Number 7, Seelampur, Delhi - 110053, DL, India",Zentek Educational  & Welfare Society,T-105,North East Delhi,Gali Number 7,110053,Seelampur,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Minosha India,28.193235,94.154038,"Arunachal Pradesh, India",Arunachal Pradesh,,,,,,,,,,,India,in,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Aress Software,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,,NH325,343001,,Jalore,Jalor Tehsil,JL,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nanostuffs,,,,,,,,,,,,,,,,,,,,
IncNut Digital,19.0128029,72.8277261,"Reliance Digital, Appasaheb Marathe Marg, Prabhadevi, Mumbai - 400025, MH, India",Reliance Digital,,Mumbai Zone 2,Appasaheb Marathe Marg,400025,Prabhadevi,Mumbai,Mumbai City District,MU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nuvento Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,,Webmyne INC,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
WebMobril Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Fortanix,,,,,,,,,,,,,,,,,,,,
Symphony SummitAI,18.5476685,73.790415,"Symphony Club, Baner-Pashan Link Road, Pashan, Pune - 411001, MH, India",Symphony Club,,Aundh,Baner-Pashan Link Road,411001,Pashan,Pune,Pune City,PU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TestVagrant Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Acropolis Infotech,22.514875,88.393119,"Acropolis, 1858, Rajdanga Main Road, Ward 107, Kolkata - 700107, WB, India",Acropolis,1858,Borough No. XII,Rajdanga Main Road,700107,Ward 107,Kolkata,Kolkata,KO,West Bengal,WB,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Plivo,12.9681838,77.6509743,"Plivo Communications, 3rd Floor, Jeevan Bhima Nagar 10th Main Road, Jagadish Nagar, Bengaluru - 560075, KA, India",Plivo Communications,3rd Floor,Bengaluru East City Corporation,Jeevan Bhima Nagar 10th Main Road,560075,Jagadish Nagar,Bengaluru,Bangalore East,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vinculum Group,16.417351,81.779701,"Madhya Group, East Godavari, India",,,,,,,Madhya Group,East Godavari,,Andhra Pradesh,AP,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Mindteck India,28.193235,94.154038,"Arunachal Pradesh, India",Arunachal Pradesh,,,,,,,,,,,India,in,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Kaizen Technologies,19.078437,72.854999,"Kaizen Quro, Kolekalyan, Mumbai - 402308, MH, India",,,Zone 3,Kaizen Quro,402308,Kolekalyan,Mumbai,Mumbai City,MU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Andor Tech,25.024151,72.8669,"Andor, Sirohi, India",,,,,,,Andor,Sirohi,,Rajasthan,RJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Bidgely,,,,,,,,,,,,,,,,,,,,
Digiryte,,,,,,,,,,,,,,,,,,,,
Servosys Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,East Bangalore,,,Mobipro Solutions,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Zuper,23.2457454,77.2603253,"Empire By Zuper, Khetlakheri, Bhopal - 462066, MP, India",Empire By Zuper,,Khetlakheri,Empire By Zuper,462066,,Bhopal,Huzur Tahsil,,Madhya Pradesh,MP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
AFour Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Xento Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",,Old Padra Road,390007,,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Arya.ag,22.6441254,76.3330059,"Arya, Bagli Tahsil, India",,,Arya,,,,Arya,Bagli Tahsil,,Madhya Pradesh,MP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
AIEnterprise Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,,Webmyne INC,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Onama Consultants,28.596896,77.132851,"Consultants, Delhi - 110046, DL, India",Consultants,,,,110046,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Creative Capsule,21.0982175,79.0671092,"Capsule Cafe, 5, Wardha Road, Nagpur - 440025, MH, India",Capsule Cafe,5,,Wardha Road,440025,,Nagpur,Nagpur Urban Taluka,NG,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Orbit Techsol,24.8267851,92.8013167,"Orbit Hotel, Ukil Patty, Tarapur, Silchar - 788001, AS, India",Orbit Hotel,,,Ukil Patty,788001,Tarapur,Silchar,Silchar,CA,Assam,AS,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lirik,,,,,,,,,,,,,,,,,,,,
Kriya IT,12.923654,77.499698,"Kriya kalpa, Hemmigepura, Bangalore - 560059, KA, India",,,Rajarajeswari Nagar,Kriya kalpa,560059,Hemmigepura,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Verifaya Corporation,17.43727,78.38536,"United Technologies Corporation, Serilingampally, Hyderabad, India",United Technologies Corporation,,West Zone,,,Serilingampally,Hyderabad,Hyderabad,HY,Andhra Pradesh,AP,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"tyfone,",,,,,,,,,,,,,,,,,,,,
Neova Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,East Bangalore,,,Mobipro Solutions,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
PreludeSys,,,,,,,,,,,,,,,,,,,,
Shell Transource,12.862777,77.531358,"Shell, Kanakapura Road, Hemmigepura, Bangalore - 560062, KA, India",Shell,,Rajarajeswari Nagar,Kanakapura Road,560062,Hemmigepura,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
IKF Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Vaisesika Consulting,28.4935315,77.088317,"Boston Consulting Group, DLF Tower 10th Road, Sector 25A, Gurgaon - 122010, HR, India",Boston Consulting Group,,Gurgaon,DLF Tower 10th Road,122010,Sector 25A,Gurgaon,Gurugram,GG,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
5C Network,13.0349626,77.5115963,"ISRO Telemetry, Tracking and Command Network, Nelagadaranahalli, Bengaluru - 560058, KA, India","ISRO Telemetry, Tracking and Command Network",,Bengaluru West City Corporation,,560058,Nelagadaranahalli,Bengaluru,Bangalore North,,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Baazi Games,12.948796,77.620116,"National Games, Ejipura, Bangalore, India",National Games,,South Bangalore,,,Ejipura,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
RT Network Solutions,25.587397,94.379125,"Road to North East Network Office, - 797107, NL, India",,,,Road to North East Network Office,797107,,,Phek,PH,Nagaland,NL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
CatalystOne Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,East Bangalore,,,Mobipro Solutions,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Rigved Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
XDuce,,,,,,,,,,,,,,,,,,,,
Agiliad,,,,,,,,,,,,,,,,,,,,
Flo Group,18.9135262,73.1954669,"Feliz Flo Fitness Aerial Yoga, Dance, Zumba, NH48, Mohope - 410222, MH, India","Feliz Flo Fitness Aerial Yoga, Dance, Zumba",,,NH48,410222,,Mohope,Panvel Subdistrict,RG,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BRIDGEi2i Analytics Solutions,,,,,,,,,,,,,,,,,,,,
Frontier Business systems,28.374548,76.957727,"Frontier, Gurugram - 122004, HR, India",,,,Frontier,122004,,Gurugram,Gurugram,GG,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TripStack,,,,,,,,,,,,,,,,,,,,
Mosambee,,,,,,,,,,,,,,,,,,,,
Verisys Corporation,17.43727,78.38536,"United Technologies Corporation, Serilingampally, Hyderabad, India",United Technologies Corporation,,West Zone,,,Serilingampally,Hyderabad,Hyderabad,HY,Andhra Pradesh,AP,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
eProductivity Software,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,,NH325,343001,,Jalore,Jalor Tehsil,JL,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cozentus,,,,,,,,,,,,,,,,,,,,
Toshiba Software,12.9250087,77.6315006,"Toshiba Software India Pvt Ltd, 7th C Main Road, Kormangala East, Bengaluru - 560034, KA, India",Toshiba Software India Pvt Ltd,,Bengaluru South City Corporation,7th C Main Road,560034,Kormangala East,Bengaluru,Bangalore South,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Innohub Technologies Pte,,,,,,,,,,,,,,,,,,,,
Mantra Labs,12.9846898,77.726976,"Mantra Labs, GSP lab, Hoodi, Bengaluru - 560066, KA, India",Mantra Labs,,Bengaluru East City Corporation,GSP lab,560066,Hoodi,Bengaluru,Bangalore East,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fullestop,,,,,,,,,,,,,,,,,,,,
Yexle,,,,,,,,,,,,,,,,,,,,
Daffodil Software,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,,NH325,343001,,Jalore,Jalor Tehsil,JL,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Flexasoft,,,,,,,,,,,,,,,,,,,,
Congruent Info,11.1272103,77.0392922,"Info Institute of Engineering, Karuvalur - Kovilpalayam Road, Kovilpalayam - 641107, TN, India",Info Institute of Engineering,,,Karuvalur - Kovilpalayam Road,641107,,Kovilpalayam,Coimbatore North,CM,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Talview,,,,,,,,,,,,,,,,,,,,
Quartic.ai,,,,,,,,,,,,,,,,,,,,
JobsForHer,,,,,,,,,,,,,,,,,,,,
CBNITS,,,,,,,,,,,,,,,,,,,,
fifthnote,,,,,,,,,,,,,,,,,,,,
Paktolus Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,East Bangalore,,,Mobipro Solutions,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Chimera Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Flock,17.6780863,83.2151699,"Little Flock Churcg, BC Road, Azeemabad, Old Gajuwaka - 530026, AP, India",Little Flock Churcg,,,BC Road,530026,Azeemabad,Old Gajuwaka,Gajuwaka,VS,Andhra Pradesh,AP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
KritiKal Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,East Bangalore,,,Mobipro Solutions,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
ONE BCG,19.0023567,72.8264064,"World One, Shankar Rao Naram Path (Gowalia Chawl Lane), Lower Parel, Mumbai - 400013, MH, India",World One,,Mumbai Zone 2,Shankar Rao Naram Path (Gowalia Chawl Lane),400013,Lower Parel,Mumbai,Mumbai City District,MU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
TravClan,,,,,,,,,,,,,,,,,,,,
Affle,,,,,,,,,,,,,,,,,,,,
SpanIdea Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",,Old Padra Road,390007,,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Blackstraw.ai,,,,,,,,,,,,,,,,,,,,
Impact Analytics,12.913572,77.609936,"Impact Physiotherapy, BTM Layout, Bangalore - 560076, KA, India",Impact Physiotherapy,,South Bangalore,,560076,BTM Layout,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SysCloud,,,,,,,,,,,,,,,,,,,,
Fidelis Corporate Solutions,26.889612,80.960083,"St. Fidelis, Lucknow - 226030, UP, India",,,,St. Fidelis,226030,,Lucknow,Lucknow,LU,Uttar Pradesh,UP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Softcell Technologies Global,23.1535101,79.9133595,"Sysnet Global Technologies, NH45, Jabalpur, Jabalpur - 482003, MP, India",Sysnet Global Technologies,,Jabalpur,NH45,482003,,Jabalpur,GorakhpurTahsil,JA,Madhya Pradesh,MP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Digital Refresh Networks,28.412447,77.0496403,"Tikona Digital Networks, Sec 49, Sai Dham Road, Sector 49, Gurgaon - 201301, HR, India",Tikona Digital Networks,Sec 49,Gurgaon,Sai Dham Road,201301,Sector 49,Gurgaon,Gurugram,GG,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
AMREP SUPPLIER MANAGEMENT SERVICES,,,,,,,,,,,,,,,,,,,,
360 Degree Cloud Technologies,,,,,,,,,,,,,,,,,,,,
Selectsys India,,,,,,,,,,,,,,,,,,,,
Resilience InfoTech,26.82399,75.54525,"Vatika Infotech City, Jaipur, India",,,,,,,Vatika Infotech City,Jaipur,,Rajasthan,RJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
DreamOrbit,,,,,,,,,,,,,,,,,,,,
Xangars Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,East Bangalore,,,Mobipro Solutions,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Q3 Technologies,12.3634413,76.5961002,"Infosys Technologies Limited, Mysuru - 570001, KA, India",Infosys Technologies Limited,,,,570001,Infosys Technologies Limited,Mysuru,Mysuru taluk,,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Medline India,28.193235,94.154038,"Arunachal Pradesh, India",Arunachal Pradesh,,,,,,,,,,,India,in,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
EXILANT Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
TechAffinity,,,,,,,,,,,,,,,,,,,,
Dremio,,,,,,,,,,,,,,,,,,,,
Softobiz Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
CoffeeBeans Consulting,28.4935315,77.088317,"Boston Consulting Group, DLF Tower 10th Road, Sector 25A, Gurgaon - 122010, HR, India",Boston Consulting Group,,Gurgaon,DLF Tower 10th Road,122010,Sector 25A,Gurgaon,Gurugram,GG,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ElectrifAi,,,,,,,,,,,,,,,,,,,,
Goods And Services Tax Network,28.5504366,77.1220992,"Goods and Services Tax Network, Manhattan Drive, Vasant Vihar Tehsil, New Delhi - 110037, DL, India",Goods and Services Tax Network,,,Manhattan Drive,110037,Vasant Vihar Tehsil,New Delhi,South West Delhi,SW,Delhi,DL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
JMR Infotech,26.82399,75.54525,"Vatika Infotech City, Jaipur, India",,,,,,,Vatika Infotech City,Jaipur,,Rajasthan,RJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Cendyn,,,,,,,,,,,,,,,,,,,,
Growexx,,,,,,,,,,,,,,,,,,,,
Ind Innovation,13.0145816,80.2018161,"Beez Innovation Labs Pvt. Ltd., HQ10 Primus, Office no. 205, 2nd floor, SIDCO Industrial Estate South Phase Road, Zone 13 Adyar, Chennai - 600032, TN, India",Beez Innovation Labs Pvt. Ltd.,"HQ10 Primus, Office no. 205, 2nd floor",CMWSSB Division 170,SIDCO Industrial Estate South Phase Road,600032,Zone 13 Adyar,Chennai,Alandur,,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Zensark,,,,,,,,,,,,,,,,,,,,
"Nsight,",,,,,,,,,,,,,,,,,,,,
Technodysis,,,,,,,,,,,,,,,,,,,,
Skilrock Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Sugal & Damani,21.0079209,75.5703472,"Damani Maternity and Surgical Hospital,Jalgaon, SH186, Jalgaon - 425001, MH, India","Damani Maternity and Surgical Hospital,Jalgaon",,,SH186,425001,,Jalgaon,Jalgaon,JG,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
IFTAS,,,,,,,,,,,,,,,,,,,,
Alpha Net,28.4710345,77.5127373,"Alpha 1, Pari Chowk, Sector 20, Greater Noida - 201310, UP, India",Alpha 1,,,Pari Chowk,201310,Sector 20,Greater Noida,Gautam Buddha Nagar,GB,Uttar Pradesh,UP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tejora,,,,,,,,,,,,,,,,,,,,
Easy Eat AI,26.912871,79.777133,"Eat Khari, Kanpura, Kannauj, India",Eat Khari,,,,,Eat Khari,Kanpura,Kannauj,,Uttar Pradesh,UP,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Kairos Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
MSRcosmos LLC,20.349079,85.807721,"AuroIN LLC, TCS Footpath, Bhubaneswar Municipal Corporation - 751024, OR, India",AuroIN LLC,,,TCS Footpath,751024,,Bhubaneswar Municipal Corporation,Cuttack,CU,Odisha,OR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
ParadigmIT,,,,,,,,,,,,,,,,,,,,
SEEC,,,,,,,,,,,,,,,,,,,,
Hirect India,,,,,,,,,,,,,,,,,,,,
iFocus Systec,,,,,,,,,,,,,,,,,,,,
Evoke Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
PURVIEW,,,,,,,,,,,,,,,,,,,,
CEPTES Software,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,,NH325,343001,,Jalore,Jalor Tehsil,JL,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
eMDs,,,,,,,,,,,,,,,,,,,,
RPS Consulting,25.366264,85.540878,"R.P.S College, Harnaut - 803110, BR, India",,,,R.P.S College,803110,,Harnaut,Nalanda,NL,Bihar,BR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Finesse Global,27.501023,82.794713,"Global, Barhani Bazar, Siddharth Nagar, India",Global,,,,,,Barhani Bazar,Siddharth Nagar,SN,Uttar Pradesh,UP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright