original_Company Name,lat,lon,formatted,name,housenumber,street,postcode,district,county_code,city,county,state,state_code,country,country_code,
Opus Consulting Solutions,22.5696848,88.4365441,"Geforce Consulting Solutions Pvt. Ltd., 7th Floor, K-1, Manibhandar Building, Module 7A, Ring Road, Sector V, Bidhannagar - 700091, WB, India",Geforce Consulting Solutions Pvt. Ltd.,"7th Floor, K-1, Manibhandar Building, Module 7A",Ring Road,700091,GP Block,PS,Bidhannagar,Bidhannagar,West Bengal,WB,India,in,
Mahindra Satyam BPO,12.8524,77.67791,"Central cafeteria, Mahindra Satyam, Bangalore, India",,,,,,,"Central cafeteria, Mahindra Satyam",Bangalore,Karnataka,KA,India,in,
iSource ITES,23.517723,87.377177,"ITES Block, Durgapur - 713216, WB, India",,,ITES Block,713216,,BR,Durgapur,Bardhaman,West Bengal,WB,India,in,
Thirdware Solution INC,,,,,,,,,,,,,,,,
Genisys Group,12.979356,77.722733,"Genisys, Garudachar Playa, Bangalore - 560066, KA, India",,,Genisys,560066,Mahadevapura,BN,Bangalore,Bangalore,Karnataka,KA,India,in,
Adarsh Solutions,26.902074,75.835389,"RasuKoo Digital Solutions, D-20/21, Mandir Marg, Adarsh Nagar, Jaipur - 302004, RJ, India",RasuKoo Digital Solutions,D-20/21,Mandir Marg,302004,Saket Colony,,Jaipur,Jaipur Tehsil,Rajasthan,RJ,India,in,
Net Solutions,31.7069085,76.9361109,"Net Pro Solutions, NH3;NH154, Mandi - 175001, HP, India",Net Pro Solutions,,NH3,NH154,175001,,,Mandi,Mandi,Himachal Pradesh,HP,India,https://www.openstreetmap.org/copyright
Airdit Software Services,12.9258227,77.6866283,"GrayMatter Software Services Pvt. Ltd., 20, RMZ Eco World Road, Shivanasamudra Ward, Bengaluru - 560103, KA, India",GrayMatter Software Services Pvt. Ltd.,20,RMZ Eco World Road,560103,Bengaluru East City Corporation,BN,Bengaluru,Bangalore East,Karnataka,KA,India,in,
Terralogic,,,,,,,,,,,,,,,,
Computer Power Group,18.6095673,73.7703742,"Computer Town, Shop no 10, Upper ground, Abc Nirman Building, Gujarnagar Flyover, Thergaon, Pimpri - 411033, MH, India",Computer Town,"Shop no 10, Upper ground, Abc Nirman Building",Gujarnagar Flyover,411033,Kaverinagar,PU,Pimpri,Mulshi,Maharashtra,MH,India,in,
"Trellissoft,",,,,,,,,,,,,,,,,
Wobot.ai,,,,,,,,,,,,,,,,
Kami Vision,30.580072,76.925637,"Kami, Panchkula, India",,,,,,,Kami,Panchkula,Haryana,HR,India,in,
Ford Pro Charging,12.786309,80.0153,"Henry Ford Road, - 603204, TN, India",,,Henry Ford Road,603204,,KC,,Kancheepuram,Tamil Nadu,TN,India,in,
Reward360 Global Services.,12.980156,77.602371,"VFS Global Services, Unit No. 305, Level 3, Second Floor, Prestige Atrium, No.1 Central Street, Shivaji Nagar, Central Street, Sampangiram Nagar, Bangalore - 560001, KA, India",VFS Global Services,"Unit No. 305, Level 3, Second Floor, Prestige Atrium, No.1 Central Street, Shivaji Nagar",Central Street,560001,East Bangalore,BN,Bangalore,Bangalore,Karnataka,KA,India,in,
SISA,20.719564,77.1095689,"Sisa, Akola, India",,,,,Sisa,,Sisa,Akola,Maharashtra,MH,India,in,
MicroObjects,,,,,,,,,,,,,,,,
IDfy,19.105544,72.8812603,"IDfy, Hasan Pada Road, Saki Naka, Mumbai - 400072, MH, India",IDfy,,Hasan Pada Road,400072,Mumbai Zone 3,MU,Mumbai,Mumbai Suburban District,Maharashtra,MH,India,in,
CK Solutions,19.1655249,72.8526144,"Appectual IT Solutions, Goregaon East, Mumbai - 400063, MH, India",Appectual IT Solutions,,,400063,Mumbai Zone 4,,Mumbai,Mumbai Suburban District,Maharashtra,MH,India,in,
Aissel Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Games2win India,22.687581,79.370366,India,India,,,,,,,,,,India,in,
ITCG Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,,East Bangalore,,Bangalore,Bangalore,Karnataka,KA,India,in,
Dukaan,25.5854427,85.0461973,"general store dukaan, Khagaul - 801105, BR, India",general store dukaan,,,801105,,,Khagaul,Dinapur-Cum-Khagaul,Bihar,BR,India,in,
Supply Wisdom,9.318529,76.617305,"Supply office, gorund floor, Chengannur - 689122, KL, India",Supply office,gorund floor,,689122,,AL,Chengannur,Alappuzha,Kerala,KL,India,in,
InApp,,,,,,,,,,,,,,,,
TATWA Technologies,26.750433,84.711859,"Tatwa Toli, Siripur, West Champaran, India",Tatwa Toli,,,,,,Siripur,West Champaran,Bihar,BR,India,in,
Ospyn Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
RGI Group,16.417351,81.779701,"Madhya Group, East Godavari, India",,,,,,,Madhya Group,East Godavari,Andhra Pradesh,AP,India,in,
izmo,,,,,,,,,,,,,,,,
Weaverbird Engineering & Technology,26.9164527,80.9414473,"Institute of Engineering & Technology, Sitapur Road, Aliganj, Lucknow - 226021, UP, India",Institute of Engineering & Technology,,Sitapur Road,226021,,,Lucknow,Lucknow,Uttar Pradesh,UP,India,in,
iGlobal KPO Services,17.4300823,78.4317595,"Legitimate KPO Services, Sri Nagar Colony Main Road, Ward 96 Yousufguda, Hyderabad - 500073, TG, India",Legitimate KPO Services,,Sri Nagar Colony Main Road,500073,Greater Hyderabad Municipal Corporation Central Zone,HY,Hyderabad,Shaikpet mandal,Telangana,TG,India,in,
Xoxoday,,,,,,,,,,,,,,,,
RDAlabs,,,,,,,,,,,,,,,,
Extentia Information Technology,28.672116,77.250027,"Delhi Information Technology Park, Kailash Nagar, Delhi - 110106, DL, India",,,Delhi Information Technology Park,110106,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Inventive IT,12.9648652,80.2465976,"jnana inventive private limited, 27, Dr MGR Main Road, Zone 14 Perungudi, Chennai - 600096, TN, India",jnana inventive private limited,27,Dr MGR Main Road,600096,Perungudi,CH,Chennai,Chennai,Tamil Nadu,TN,India,in,
Abjayon,,,,,,,,,,,,,,,,
Interra Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",Old Padra Road,390007,,,Vadodara,Vadodara,Gujarat,GJ,India,in,
Mysense Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
sa.global,20.2575703,85.7874103,"Vikash Global School, NH16, Ward 63, Bhubaneswar Municipal Corporation - 751030, OR, India",Vikash Global School,,NH16,751030,South West Zone,,Bhubaneswar Municipal Corporation,Bhubaneswar (M.Corp.),Odisha,OR,India,in,
LambdaTest,28.6228716,77.3663007,"LambdaTest, Sector 62, Noida - 201309, UP, India",LambdaTest,,,201309,,GB,Noida,Dadri,Uttar Pradesh,UP,India,in,
Founder and Lightning,12.9703132,77.5758789,"Aarti electricals and lightning, B.V.K. Iyengar Road, Chikkapete, Bengaluru - 560053, KA, India",Aarti electricals and lightning,,B.V.K. Iyengar Road,560053,Bengaluru Central City Corporation,BN,Bengaluru,Bangalore North,Karnataka,KA,India,in,
Innover Digital,19.0128029,72.8277261,"Reliance Digital, Appasaheb Marathe Marg, Prabhadevi, Mumbai - 400025, MH, India",Reliance Digital,,Appasaheb Marathe Marg,400025,Mumbai Zone 2,MU,Mumbai,Mumbai City District,Maharashtra,MH,India,in,
Naviga India,28.193235,94.154038,"Arunachal Pradesh, India",Arunachal Pradesh,,,,,,,,,,India,in,
Sriven Systems,12.9437747,77.6497187,"Sriven Splendour, Challaghatta Jct Rd, Challaghatta, Yamalur, Bengaluru - 560037, KA, India",Sriven Splendour,,"Challaghatta Jct Rd, Challaghatta",560037,Bengaluru East City Corporation,BN,Bengaluru,Bangalore East,Karnataka,KA,India,in,
eClinical Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,,East Bangalore,,Bangalore,Bangalore,Karnataka,KA,India,in,
Softura,,,,,,,,,,,,,,,,
Jagran New Media,28.6496701,77.339575,"Vaishali, Madan Mohan Malviya Marg, Vaishali, Ghaziabad - 201001, UP, India",Vaishali,,Madan Mohan Malviya Marg,201001,,GH,Ghaziabad,Ghaziabad,Uttar Pradesh,UP,India,in,
SRINI PHARMACEUTICALS,26.7142119,88.4257006,"Bhadra Pharmaceuticals, Sirish Bhaduri Sarani, Siliguri - 734001, WB, India",Bhadra Pharmaceuticals,,Sirish Bhaduri Sarani,734001,,DA,Siliguri,Matigara block,West Bengal,WB,India,in,
Palni Inc,25.129501,85.612611,"Palni, Sheikhpura, India",,,,,,,Palni,Sheikhpura,Bihar,BR,India,in,
Streamoid,,,,,,,,,,,,,,,,
FCS Software Solutions,12.9864281,77.5952553,"Planvisage Software Solutions, 35/1, 2nd Floor, Cunningham Hallmark, Cunningham Road, Vasanth Nagar, Bengaluru - 560001, KA, India",Planvisage Software Solutions,"35/1, 2nd Floor, Cunningham Hallmark",Cunningham Road,560001,Bengaluru Central City Corporation,BN,Bengaluru,Bangalore North,Karnataka,KA,India,in,
GoKwik,,,,,,,,,,,,,,,,
Acnovate Corporation,17.43727,78.38536,"United Technologies Corporation, Serilingampally, Hyderabad, India",United Technologies Corporation,,,,West Zone,HY,Hyderabad,Hyderabad,Andhra Pradesh,AP,India,in,
Catalyst Business Solutions,11.0108897,76.4860777,"Motorex Business Solutions, Mannarkkad-Aanakkati Road, Mannarkkad - 678582, KL, India",Motorex Business Solutions,,Mannarkkad-Aanakkati Road,678582,,PL,Mannarkkad,Mannarkad,Kerala,KL,India,in,
Rang Technologies Inc,22.302995,73.154503,"Apidel Technologies, Vadodara - 391101, GJ, India",,,Apidel Technologies,391101,,,Vadodara,Vadodara,Gujarat,GJ,India,in,
iFlair Web Technologies,17.4931887,78.4106286,"Bhavya Web Technologies Pvt Ltd, Kukatpally, Hyderabad - 509328, TG, India",Bhavya Web Technologies Pvt Ltd,,Bhavya Web Technologies Pvt Ltd,509328,West Zone,HY,Hyderabad,Kukatpally mandal,Telangana,TG,India,in,
Byteridge,,,,,,,,,,,,,,,,
zCon Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,,East Bangalore,,Bangalore,Bangalore,Karnataka,KA,India,in,
CaaStle,,,,,,,,,,,,,,,,
KPI Partners,12.9874203,77.5935006,"AZB & Partners, 37, Cunningham Road, Vasanth Nagar, Bengaluru - 560052, KA, India",AZB & Partners,37,Cunningham Road,560052,Bengaluru Central City Corporation,BN,Bengaluru,Bangalore North,Karnataka,KA,India,in,
VNC Digital Services,31.3023005,75.5542016,"Digital Marketing Services, 26- A, NH703, Khurla Kingra, Jalandhar - 144003, PB, India",Digital Marketing Services,26- A,NH703,144003,Guru Teg Bahadur Nagar,JA,Jalandhar,Jalandhar I Tahsil,Punjab,PB,India,in,
Everyday Health Group,17.4620023,78.3669068,"REFRACTO EYE HOSPITAL (A GROUP OF CREDIBLE HEALTH CARE PVT LTD ), Gachibowli - Miyapur Highway, Kondapur, Hyderabad - 500084, TG, India",REFRACTO EYE HOSPITAL (A GROUP OF CREDIBLE HEALTH CARE PVT LTD ),,Gachibowli - Miyapur Highway,500084,jubilee gardens,HY,Hyderabad,Serilingampalle mandal,Telangana,TG,India,in,
INTECH,12.5879367,75.0734532,"intech solutions, Badiyadka Road, Perdala Panjithadka Colony, Badiadka - 671551, KL, India",intech solutions,,Badiyadka Road,671551,Perdala Panjithadka Colony,KS,Badiadka,Kasaragod,Kerala,KL,India,in,
ZeOmega,,,,,,,,,,,,,,,,
Konica Minolta Business Solutions India,,,,,,,,,,,,,,,,
IT Services,28.3906161,77.3020566,"Yatharthriti IT Services Private Ltd | Learning Management System|LMS Platform | LMS Software|LMS Provider| Moodle LMS| Elearning Solution, A22, New Industrial Township, Faridabad - 121001, HR, India",Yatharthriti IT Services Private Ltd | Learning Management System|LMS Platform | LMS Software|LMS Provider| Moodle LMS| Elearning Solution,A22,,121001,,,Faridabad,Faridabad,Haryana,HR,India,in,
ISHIR,,,,,,,,,,,,,,,,
Galaxy Weblinks Inc,,,,,,,,,,,,,,,,
Accutech Power Solutions,13.020846,77.498553,"Accutech Enterprises, A2, 480, 1st Cross Rd, 7 Block, 3rd Phase, BSK 3rd Stage, Peenya, Peenya Industrial Area, Bangalore - 560058, KA, India",Accutech Enterprises,"A2, 480","1st Cross Rd, 7 Block, 3rd Phase, BSK 3rd Stage, Peenya",560058,Dasarahalli ,BN,Bangalore,Bangalore,Karnataka,KA,India,in,
Proximity Works,14.537065,78.849645,"Gandi Water Works, Kadapa, India",,,,,,,Gandi Water Works,Kadapa,Andhra Pradesh,AP,India,in,
Skience,,,,,,,,,,,,,,,,
Webkul,28.6295207,77.3785287,"WebKul, H-28, ARV Park, Model Town Underpass, Sector 62, Noida - 201301, UP, India",WebKul,"H-28, ARV Park",Model Town Underpass,201301,,GB,Noida,Dadri,Uttar Pradesh,UP,India,in,
MindCraft Software,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,NH325,343001,,JL,Jalore,Jalor Tehsil,Rajasthan,RJ,India,in,
Conviva,,,,,,,,,,,,,,,,
ACCELQ,,,,,,,,,,,,,,,,
Mobiloitte,,,,,,,,,,,,,,,,
Quark Software,12.9854405,80.2364886,"Quark Canteen, Hostel Avenue, Zone 13 Adyar, Chennai - 600036, TN, India",Quark Canteen,,Hostel Avenue,600036,CMWSSB Division 174,CH,Chennai,Chennai,Tamil Nadu,TN,India,in,
Prescient Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
StrategicERP Business Automation Solutions,,,,,,,,,,,,,,,,
BrainerHub Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,,East Bangalore,,Bangalore,Bangalore,Karnataka,KA,India,in,
SSM InfoTech Solutions,30.7107344,76.7090881,"Seasia Infotech - Enterprise AI Solutions, C-136, edge 22, Sector 72, Sahibzada Ajit Singh Nagar - 160071, PB, India",Seasia Infotech - Enterprise AI Solutions,C-136,edge 22,160071,,,Sahibzada Ajit Singh Nagar,S.A.S. Nagar (Mohali) Tahsil,Punjab,PB,India,in,
DVG,14.4679807,75.9195682,"Davanagere, SH76, K.B. Extension, Davanagere - 577002, KA, India",Davanagere,,SH76,577002,,,Davanagere,Davanagere Taluku,Karnataka,KA,India,in,
ShopX,,,,,,,,,,,,,,,,
Lumiq,,,,,,,,,,,,,,,,
Akshay Software Technologies,13.026214,77.635813,"Ambara Software Technologies, Kacharkanahalli, Bangalore - 560043, KA, India",Ambara Software Technologies,,,560043,East Bangalore,BN,Bangalore,Bangalore,Karnataka,KA,India,in,
Atlan,,,,,,,,,,,,,,,,
Apptware,,,,,,,,,,,,,,,,
Eternus,,,,,,,,,,,,,,,,
NeST Digital,19.0128029,72.8277261,"Reliance Digital, Appasaheb Marathe Marg, Prabhadevi, Mumbai - 400025, MH, India",Reliance Digital,,Appasaheb Marathe Marg,400025,Mumbai Zone 2,MU,Mumbai,Mumbai City District,Maharashtra,MH,India,in,
Senrysa Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
TactTree LLP,11.257058,75.7917199,"Peloton Sports LLP, Sahara Building, Mini Bypass Road, Jawahar Nagar, Kozhikode - 673004, KL, India",Peloton Sports LLP,Sahara Building,Mini Bypass Road,673004,,KZ,Kozhikode,Kozhikode,Kerala,KL,India,in,
CRG Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,,East Bangalore,,Bangalore,Bangalore,Karnataka,KA,India,in,
Logixal Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,,,Vadodara,Vadodara,Gujarat,GJ,India,in,
Hirexa Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,,,East Bangalore,,Bangalore,Bangalore,Karnataka,KA,India,in,
Credence Analytics,12.98366,80.246441,"LatentView Analytics, Ward 180, Chennai - 600113, TN, India",LatentView Analytics,,,600113,Adyar,CH,Chennai,Chennai,Tamil Nadu,TN,India,in,
Pesto Tech,12.9226966,80.1279616,"TECH ZONE, 1, Velachery Main Road, East Tambaram, Tambaram - 600059, TN, India",TECH ZONE,1,Velachery Main Road,600059,,KC,Tambaram,Tambaram,Tamil Nadu,TN,India,in,
Securelynkx Networks,12.9256413,77.6863239,"Applogic Networks, 1A, RMZ Ecoworld Internal Road, Shivanasamudra Ward, Bengaluru - 560103, KA, India",Applogic Networks,1A,RMZ Ecoworld Internal Road,560103,Bengaluru East City Corporation,BN,Bengaluru,Bangalore East,Karnataka,KA,India,in,
DCKAP,,,,,,,,,,,,,,,,
Paytm Insider,22.4610237,69.0966342,"TRAVEL INSIDER TENT CITY, Sudarshan Setu, Beyt - 361330, GJ, India",TRAVEL INSIDER TENT CITY,,Sudarshan Setu,361330,,JM,Beyt,Okhamandal Taluka,Gujarat,GJ,India,in,
Fable Fintech,28.6365612,77.3050393,"AS Fintech Private Limited, 7, Gali Number 1, Preet Vihar Tehsil, Delhi - 110092, DL, India",AS Fintech Private Limited,7,Gali Number 1,110092,East Delhi,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Virsec Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",Old Padra Road,390007,,,Vadodara,Vadodara,Gujarat,GJ,India,in,
Infoworks.io,,,,,,,,,,,,,,,,
Promact Infotech,22.27338,73.19735,"Promact Infotech Pvt. Ltd., Vadodara, India",Promact Infotech Pvt. Ltd.,,,,,,Vadodara,Vadodara,Gujarat,GJ,India,in,
Taashee Linux Services,,,,,,,,,,,,,,,,
Cegonsoft,,,,,,,,,,,,,,,,
CEIPAL Corp.,20.29219,85.82174,"Bhubaneswar M Corp, Khordha, India",,,,,,KH,Bhubaneswar M Corp,Khordha,Odisha,OR,India,in,
Briq,,,,,,,,,,,,,,,,
Cotelligent,,,,,,,,,,,,,,,,
Enhops,,,,,,,,,,,,,,,,
Sysvine Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Education Management Solutions,19.232866,72.970429,"Harmony Management Solutions, Thane - 401302, MH, India",Harmony Management Solutions,,,401302,,TN,Thane,Thane,Maharashtra,MH,India,in,
Appnomic,,,,,,,,,,,,,,,,
eTouch Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",Old Padra Road,390007,,,Vadodara,Vadodara,Gujarat,GJ,India,in,
Autoplant System India,28.626069,77.303731,"Shrimate Surveillance System, D 306, D 306 PNB Building, west vinod nagar, Indraprastha Extension, Delhi - 110092, DL, India",Shrimate Surveillance System,D 306,"D 306 PNB Building, west vinod nagar",110092,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Tringapps,,,,,,,,,,,,,,,,
BuzzClan,,,,,,,,,,,,,,,,
ARS Traffic & Transport Technology,26.797544,91.503238,"Road Service and Transport Authority, Darranga, Sashipur - 41001, AS, India",Road Service and Transport Authority,,,41001,,,Sashipur,Baksa,Assam,AS,India,in,
BDx Data Centers,,,,,,,,,,,,,,,,
Facile Services,30.111017,78.2825,"Services, Someshwar Nagar, Rishikesh - 249201, UT, India",,,Services,249201,,DD,Rishikesh,Dehradun,Uttarakhand,UT,India,in,
Uneecops Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,SW,Delhi,South West Delhi,Delhi,DL,India,in,
Rapidflow Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,,,Vadodara,Vadodara,Gujarat,GJ,India,in,
